country_name,un_class_2014,imf_class_2023,g7,eu_member,fuel_exp_country,wealth_rank,gdp_ppp_2022,gdp_pc_2022,continents
Mauritius,Developing,Emerging,No,No,No,62,26906.00,9926.00,Africa
Libya,Developing,Emerging,No,No,Yes,68,23375.00,6716.00,Africa
Botswana,Developing,Emerging,No,No,No,80,18323.00,7738.00,Africa
Equitorial Guinea,Developing,Emerging,No,No,Yes,87,17396.00,7053.00,Africa
Gabon,Developing,Emerging,No,No,Yes,90,16471.00,8820.00,Africa
South Africa,Developing,Emerging,No,No,No,92,15905.00,6776.00,Africa
Egypt,Developing,Emerging,No,No,Yes,94,15091.00,4295.00,Africa
Algeria,Developing,Emerging,No,No,Yes,102,13210.00,4274.00,Africa
Côte d’Ivoire,Developing,Emerging,No,No,Yes,127,6538.00,2486.00,Africa
Ghana,Developing,Emerging,No,No,No,128,6498.00,2176.00,Africa
Mauritania,Developing,Emerging,No,No,No,130,6424.00,2191.00,Africa
United States,Developed,Advanced,Yes,No,No,8,76399.00,75269.00,North America
Nigeria,Developing,Emerging,No,No,Yes,133,5860.00,2184.00,Africa
Kenya,Developing,Emerging,No,No,No,134,5764.00,2099.00,Africa
Sao Tome and Prinicipe,Developing,Emerging,No,No,No,140,4738.00,2404.00,Africa
Canada,Developed,Advanced,Yes,No,No,22,58400.00,55646.00,North America
Cameroon,Developing,Emerging,No,No,Yes,143,4408.00,1588.00,Africa
Sudan,Developing,Emerging,No,No,Yes,144,4216.00,1102.00,Africa
Panama,Developing,Emerging,No,No,No,48,39280.00,17358.00,North America
Senegal,Developing,Emerging,No,No,No,145,4209.00,1599.00,Africa
Benin,Developing,Emerging,No,No,No,146,4056.00,1303.00,Africa
Zambia,Developing,Emerging,No,No,No,147,3894.00,1488.00,Africa
Costa Rica,Developing,Emerging,No,No,No,65,24932.00,13199.00,North America
Comoros,Developing,Emerging,No,No,No,149,3832.00,1485.00,Africa
Congo,Developing,Emerging,No,No,Yes,150,3791.00,2448.00,Africa
Guinea,Developing,Emerging,No,No,No,153,3187.00,1532.00,Africa
Dominican Republic,Developing,Emerging,No,No,No,69,22834.00,10121.00,North America
Tanzania,Developing,Emerging,No,No,No,154,3097.00,1156.00,Africa
Ethiopia,Developing,Emerging,No,No,No,155,2812.00,1028.00,Africa
Rwanda,Developing,Emerging,No,No,No,156,2792.00,966.00,Africa
Mexico,Developing,Emerging,No,No,No,71,21512.00,11091.00,North America
Lesotho,Developing,Emerging,No,No,No,157,2695.00,1107.00,Africa
Uganda,Developing,Emerging,No,No,No,158,2694.00,964.00,Africa
Togo,Developing,Emerging,No,No,No,160,2608.00,918.00,Africa
Burkina Faso,Developing,Emerging,No,No,No,161,2546.00,833.00,Africa
Barbados,Developing,Emerging,No,No,No,82,17837.00,20019.00,North America
Zimbabwe,Developing,Emerging,No,No,No,162,2531.00,1267.00,Africa
